time_s,lat_deg,lon_deg,alt_m,Px_m,Py_m,Pz_m,roll_deg,pitch_deg,yaw_deg,Bx_true_nT,By_true_nT,Bz_true_nT,B_total_true_nT,B_proj_D1_nT,B_proj_D2_nT,B_proj_D3_nT,B_proj_D4_nT,Bx_meas_nT,By_meas_nT,Bz_meas_nT,B_total_meas_nT
10.0,23.027889891704724,72.5714,1010.0,600.0000000007107,0.0,-10.0,0.0,5.0,0.0,34123.02421839441,364.6833195456087,29458.95455280765,45081.52369959419,36933.629760606,2364.1496545312234,-36343.00074737213,-2867.676145389338,33995.158787270455,473.7832311171125,29464.2647363644,44989.31193046173
11.0,23.0284288808752,72.5714,1011.0,660.0000000011358,0.0,-11.0,0.0,5.0,0.0,34153.38998085582,336.6495025515713,29494.96358284692,45127.82131707066,36756.12559487068,2337.498311581498,-36366.23100046399,-3035.038548187604,33989.28589973636,470.87309430855805,29336.53249640804,44901.28524171402
12.0,23.02896787004567,72.5714,1012.0,720.0000000008528,0.0,-12.0,0.0,5.0,0.0,34237.43705541475,342.5864092531673,29540.59275867073,45221.301198715206,37168.723750769685,2456.980020621373,-36589.29460358513,-3258.152466273908,34412.8837736576,597.8180259510865,29463.433854012543,45306.70911113708
13.0,23.02950685921614,72.5714,1013.0,780.0000000009238,0.0,-13.0,0.0,5.0,0.0,34217.928424632984,394.6673084590505,29526.77326211869,45197.92835108972,36950.383753672926,2363.833208807982,-36493.1730200571,-3045.494857110049,34144.30071641201,493.1462072046919,29459.68519392285,45099.32944423333
14.0,23.030045848386614,72.5714,1014.0,840.000000000995,0.0,-14.0,0.0,5.0,0.0,34205.34928788104,334.2079537736378,29530.239931768177,45190.18350582464,37115.88748428089,2517.793738618521,-36591.96595542617,-2753.9636143475054,34199.17466373125,329.12923278383886,29633.69887347526,45253.15439454005
15.0,23.03058483755709,72.5714,1015.0,900.0000000014201,0.0,-15.0,0.0,5.0,0.0,34254.4362727714,286.29043163667546,29563.923705332287,45249.02155219836,37029.74437853803,2500.879795395137,-36493.93735907746,-3033.004341676509,34232.930204420394,462.4279327179019,29440.44596011661,45153.59574058552
16.0,23.03112382672756,72.5714,1016.0,960.0000000011372,0.0,-16.0,0.0,5.0,0.0,34317.10297206983,314.98364005188444,29591.200149857767,45314.47779019512,37269.96714165217,2629.3289339671,-36837.84685350068,-2874.6419254551306,34472.91406234162,293.3372147684093,29706.335476392687,45507.51825915302
17.0,23.03166281589803,72.5714,1017.0,1020.0000000012082,0.0,-17.0,0.0,5.0,0.0,34340.6310997045,396.7763972420581,29576.733026322243,45323.49845660351,37052.87648478722,2451.544792050141,-36525.122052803184,-3121.5013767212145,34273.40772589354,518.6240834079027,29447.008167274005,45189.17722296713
18.0,23.032201805068503,72.5714,1018.0,1080.0000000012792,0.0,-18.0,0.0,5.0,0.0,34299.52598752106,352.9243212650611,29530.3018151522,45261.69201255245,37019.8883530653,2316.668232304369,-36797.02770812925,-3010.504474282533,34270.39571613469,396.9413958189033,29656.92882188332,45322.74276959009
19.0,23.03274079423897,72.5714,1019.0,1140.000000000288,0.0,-19.0,0.0,5.0,0.0,34236.83849028275,318.75628323391413,29530.732604343008,45214.23319627366,37044.12169184762,2612.11228141832,-36585.479988520645,-2634.797508727886,34154.53134768009,208.42067472841373,29610.574178048195,45203.55687234148
20.0,23.033279783409448,72.5714,1020.0,1200.0000000014213,0.0,-20.0,0.0,5.0,0.0,34324.78632921066,327.33737907082457,29565.78252663963,45303.79236574189,36807.05874658479,2869.8710431160034,-36579.30157530652,-2858.213685686092,34257.55961010426,93.57396427288104,29296.892719931948,45076.56896403982
